Date,DBC Returns,VGK Returns,VWO Returns,GLD Returns,TLT Returns,VTI Returns,EWJ Returns,Portfolio Returns,,VTI,Portfolio
2/6/06,,-0.001269477,0.02143179,0.003893823,0.001981276,0.002380406,-0.002159854,,,#N/A,#N/A
2/7/06,-0.028925627,-0.008534631,-0.020386824,-0.037376639,-0.004723708,-0.009736434,-0.007214957,-0.017188487,,1,1
2/8/06,-0.004255333,0.009340724,0.001063313,0.004212528,-0.002317877,0.007194248,-0.005813912,-4.22E-05,,0.990263566,0.982811513
2/9/06,0.009401732,0.005080702,0.000303453,0.02462152,0.004535943,-0.001904731,-0.00292404,0.009254117,,0.997387768,0.982770043
2/10/06,-0.018204913,-0.001083169,0.001365341,-0.024741883,-0.005506612,0.002067377,-0.004398796,-0.011042891,,0.995488012,0.991864712
2/13/06,-0.015523956,-0.002891813,-0.02226936,-0.019529111,0.000110691,-0.004523088,-0.021354996,-0.008766544,,0.997546061,0.980911658
2/14/06,-0.008322415,0.006162776,0.020297438,0.0143336,-0.003543352,0.009485866,0.02407826,0.002937129,,0.993034073,0.972312453
2/15/06,-0.01457596,-0.004143397,-0.001518575,-0.013397026,0.002444726,0.003790308,-0.012490855,-0.004533431,,1.002453861,0.97516826
2/16/06,0.012102203,0.006512306,0.017490505,0.014136942,0.000221748,0.007787899,0.011160766,0.006957961,,1.00625347,0.970747402
2/17/06,0.014171824,0.004313483,0.002092691,0.008070415,0.007979542,-0.001170879,-0.021339198,0.007062143,,1.01409007,0.977501825
2/21/06,0.016593951,0.001968511,-0.005817426,0.002911208,-0.001649189,-0.002813392,0.002255667,0.002090641,,1.012902693,0.984405082
2/22/06,-0.016323087,0.006965518,0.006451621,0.00399131,0.006828137,0.007837058,0.006751684,0.002829426,,1.010053001,0.98646312
2/23/06,-0.003493424,-0.00319261,0.001043538,-0.012649096,-0.002515821,-0.002488392,0.010432203,-0.004576958,,1.017968845,0.989254244
2/24/06,0.027169184,-0.001245561,0.002829391,0.018301611,-0.001535238,0.001559065,0.019173991,0.008421462,,1.01543574,0.984726469
2/27/06,-0.019624611,0.001603429,0.005643086,-0.00754849,-0.001647473,0.002879904,0.012300968,-0.004586117,,1.01701887,0.993019306
2/28/06,0.013490032,-0.008360025,-0.018015375,0.015392955,0.004950464,-0.009856464,-0.013581076,0.005899519,,1.019947787,0.988465203
3/1/06,-0.002146874,0.009147936,0.020751838,0.00053501,-0.006041919,0.008778781,0.009420349,-0.000994854,,1.009894708,0.994296672
3/2/06,0.018072294,0.001599724,0.00309368,0.011408271,-0.006962931,-0.00069928,-0.015075394,0.001882995,,1.018760352,0.993307492
3/3/06,0.009298371,0.003016889,-0.01644875,-0.008107208,-0.00578738,-0.001632884,-0.013848425,-0.00425871,,1.018047953,0.995177884
3/6/06,-0.015912871,-0.003007815,-0.013588235,-0.018656699,-0.00873166,-0.007320832,-0.006651966,-0.012019239,,1.016385599,0.99093971
3/7/06,-0.017446816,-0.01277724,-0.036330564,-0.00506969,0.000677563,-0.004079685,-0.01116068,-0.005779836,,1.00894481,0.979029369
3/8/06,-0.016024274,0.000359517,0.007854283,-0.017834395,-0.000338544,0.002835979,0.006772092,-0.006063626,,1.004828634,0.97337074
3/9/06,0.010123306,0.000539068,-0.0042083,0.005002798,0.000338658,-0.005341704,0.01046339,0.002644161,,1.007678306,0.967468584
3/10/06,-0.004357313,0.010237074,0.017373617,-0.007558997,-0.003724209,0.007818652,0.011834321,-0.002300222,,1.002295587,0.970026727
3/13/06,0.013129053,0.00853333,0.000153887,0.008916942,-0.000792921,0.002429247,0.010233846,0.004418421,,1.010132187,0.967795451
3/14/06,0.014686856,0.01233916,0.025534481,0.01031114,0.006688628,0.010319015,0.010130258,0.009933627,,1.012586048,0.972071579
3/15/06,-0.011068549,0.005223732,0.009599513,0.004556224,-0.005405451,0.004487779,-0.002865309,-0.002236189,,1.023034939,0.981727775
3/16/06,0.008609585,0.007102015,-0.005645486,0.00399131,0.009058016,0.002156836,-0.009339139,0.006143725,,1.027626093,0.979532446
3/17/06,-0.004694892,0.001891991,0.003884684,-0.003975443,-0.003029668,0.00076857,0.013778129,-0.002331421,,1.029842514,0.985550424
3/20/06,-0.020583177,-0.000171634,0.002381247,0.000907094,0.001575668,-0.002112956,0.012160185,-0.001760081,,1.030634021,0.983252691
3/21/06,0.003502648,-0.008928566,-0.019153701,-0.006162697,-0.005169097,-0.005564154,-0.012014091,-0.00500458,,1.028456336,0.981522087
3/22/06,-0.001745234,0.008315978,0.004692777,-0.001459092,0.002146195,0.006061668,0.012875529,0.001576599,,1.022733846,0.976609981
3/23/06,0.017045516,-0.010481102,-0.006478839,-0.000913224,-0.003155987,-0.000231842,-0.016949115,-0.000225784,,1.028933319,0.978149703
3/24/06,-0.002148765,0.007466587,0.006521088,0.018464314,0.00734954,0.001313545,0.010775828,0.008297914,,1.028694769,0.977928852
3/27/06,0.006029333,-0.007755958,0.00467078,0.012206067,-0.003704047,-0.000694529,0.003553676,0.002155153,,1.030046007,0.986043622
3/28/06,0.012842463,-0.006426949,-0.011397765,-0.005852066,-0.009351084,-0.005868224,-0.012039698,-0.005116634,,1.02933061,0.988168697
3/29/06,0.006762464,0.009615364,0.011984233,0.018016393,-0.004776512,0.009320364,0.027957001,0.005359024,,1.023290268,0.9831126
3/30/06,0.012174688,0.0103896,0.007195376,0.026809147,-0.00697063,-0.002693285,0.007670837,0.005673429,,1.032827706,0.988381124
3/31/06,-0.007051053,-0.006169618,0.001339418,-0.008532423,-0.000345205,0.000540059,-0.003460223,-0.003422059,,1.030046007,0.993988633
4/3/06,0.004594787,0.007242602,0.024375731,0.006368382,0.000323535,-0.001079648,0.016666711,0.003888079,,1.030602292,0.990587146
4/4/06,-0.005405366,0.012669097,0.010446935,-0.002394373,-0.001039583,0.005790154,0,-0.000694148,,1.029489604,0.994438627
4/5/06,0.006270901,0.0030431,0.009477344,0.005657432,0.001387553,0.003684336,0.004781427,0.003730372,,1.035450508,0.99374834
4/6/06,0.017864563,-0.004213718,-0.001706983,0.010569366,-0.007621217,-0.00045883,0.004758673,0.001637817,,1.039265456,0.997455391
4/7/06,-0.00448985,-0.014725833,-0.012396748,-0.011639659,-0.009774304,-0.010711507,-0.006765852,-0.009659054,,1.038788609,0.999089041
4/10/06,0.018450225,0.001889716,-0.001442767,0.017238402,0.001880185,0.001314752,0.005449553,0.007926742,,1.027661618,0.989438785
4/11/06,0.004025778,-0.008744838,-0.010258634,-0.009899329,0.003518604,-0.009036822,-0.011517651,-0.00179519,,1.029012738,0.997281811
4/12/06,-0.00200484,-0.001383865,0.0054015,0.007117472,-0.00607758,0.002026451,-0.007539397,-0.00125516,,1.019713734,0.995491501
4/13/06,0.00642828,0.003291158,0.000725936,0.001177856,-0.007055481,-0.000233332,0,-0.001856629,,1.021780134,0.994242
4/17/06,0.010778449,0.010186468,0.011752844,0.026722689,0.003671225,-0.001556034,-0.010359083,0.009933133,,1.02154172,0.992396061
4/18/06,0.013033164,0.014356522,0.031263451,0.012440629,0.001769931,0.017221161,0.032798295,0.009419952,,1.019952167,1.002253663
4/19/06,0.009746601,0.010952005,0.008760907,0.030719516,-0.00612491,0.002987583,-0.001351342,0.006822306,,1.037516927,1.011694844
4/20/06,-0.011582968,-0.001666635,-0.002343516,-0.043764722,-0.000829578,0.001374835,-0.006089306,-0.012785602,,1.040616596,1.018596936
4/21/06,0.021093678,0.004507458,0.003868999,0.03674544,0.005811956,-0.000457606,0.006126613,0.014933194,,1.042047272,1.005573561
4/24/06,-0.019892821,0.006481676,-0.003441146,-0.0245253,0.004009383,-0.002899707,-0.006089306,-0.007305097,,1.041570425,1.020589986
4/25/06,0.003122579,-0.003137411,-0.013674026,0.018329229,-0.011862841,-0.003214175,0.002042231,-0.001245969,,1.038550176,1.013134477
4/26/06,-0.003891063,0.001987786,0.018064612,0.013857965,-0.00166407,0.000230304,0.010190185,0.003061057,,1.035212094,1.011872143
