Date,EMB Returns,HYG Returns,DBC Returns,VWO Returns,VGK Returns,GLD Returns,TLT Returns,VTI Returns,EWJ Returns,Portfolio Returns,,VTI,Portfolio
12/19/07,,0.004921266,0.009542622,0.004373142,-0.008322299,-0.000126208,0.013259451,-0.001038019,-0.006787355,,,#N/A,#N/A
12/20/07,0.000395193,-0.002154768,-0.00423733,0.003386539,0.005461612,-0.007193337,-0.002145288,0.006971776,0.003796512,-0.001174978,,1,1
12/21/07,-0.001086331,0.00314095,0.011783996,0.026518801,0.014043423,0.018177196,-0.014618949,0.015423949,0.015128611,-7.75E-05,,1.006971776,0.998825022
12/24/07,0.001779544,-0.003522517,0.00744095,0.018845547,0.005338083,0.000499388,-0.004690734,0.009331763,-0.001656409,0.000298714,,1.022503257,0.99874759
12/26/07,0.000789512,-0.004418665,0.011881834,0.007327442,0.002681657,0.01721984,-0.008768034,0.000809885,0.004524849,0.000444365,,1.032045015,0.99904593
12/27/07,-0.000780266,0.00659561,0.00349098,-0.020703177,0.001470978,0.000490689,0.010901614,-0.012542142,-0.015765805,0.002306163,,1.032880853,0.999489871
12/28/07,0.000395395,-0.009754629,-0.003162572,0.003904363,0.009614133,0.017655739,0.015594187,-0.003824069,0.011441726,0.005121649,,1.019926315,1.001794858
12/31/07,0.001383252,0.002189067,0.001269003,-0.010624133,-0.010448382,-0.006506036,0.006055337,-0.005004193,0.002262424,0.001253993,,1.016026046,1.006925699
1/2/08,0.001381342,-0.0121128,0.027566568,-0.002876335,-0.003875978,0.029105045,0.014402366,-0.011849823,-0.00451472,0.007045891,,1.010941655,1.008188378
1/3/08,0.001773584,-0.001909573,0.00770892,0.009615378,0.00362277,0.00836671,-0.001377387,-0.001185236,0.003779315,0.001744278,,0.998962176,1.015291963
1/4/08,0.000491809,-0.001107658,-0.005813915,-0.033047628,-0.024331542,-0.005142024,0.000212173,-0.026734622,-0.025602395,-0.002511525,,0.99777817,1.017062914
